symbol,vintage,p,q,distribution,valid,order,n_train,loglikelihood,n_parameters,BIC,AIC,persistence,selected,evidence
SPY,1996-10,1,2,t,True,3,927,-870.7043021560415,5,1775.5683721399123,1751.408604312083,0.9756256464251437,False,EXPOSED_HISTORY
SPY,1996-10,2,1,normal,True,4,927,-903.6420727544569,4,1834.6119597711772,1815.2841455089138,0.9708290599036675,False,EXPOSED_HISTORY
SPY,1996-10,2,1,t,True,5,927,-870.3562753786387,5,1774.8723185851065,1750.7125507572773,0.9733984894904584,False,EXPOSED_HISTORY
SPY,1996-11,1,1,normal,True,0,950,-926.6094860883006,3,1873.788358130385,1859.2189721766013,0.9757282791806574,False,EXPOSED_HISTORY
SPY,1996-11,1,1,t,True,1,950,-893.8893240643371,4,1815.2044960670526,1795.7786481286741,0.9777325341214058,True,EXPOSED_HISTORY
SPY,1996-11,1,2,normal,True,2,950,-926.6094860875121,4,1880.6448201134026,1861.2189721750242,0.9757278186881633,False,EXPOSED_HISTORY
SPY,1996-11,1,2,t,True,3,950,-893.8893240636679,5,1822.0609580503087,1797.7786481273358,0.9777325303465262,False,EXPOSED_HISTORY
SPY,1996-11,2,1,normal,True,4,950,-925.555213766369,4,1878.5362754711164,1859.110427532738,0.9708435826361166,False,EXPOSED_HISTORY
SPY,1996-11,2,1,t,True,5,950,-893.3802005998273,5,1821.0427111226275,1796.7604011996546,0.9749431635193107,False,EXPOSED_HISTORY
SPY,1996-12,1,1,normal,True,0,970,-947.1631801540161,3,1914.9582485225246,1900.3263603080322,0.9767913116102077,False,EXPOSED_HISTORY
SPY,1996-12,1,1,t,True,1,970,-913.5317946776668,4,1854.5727736413232,1835.0635893553335,0.9784388242894114,True,EXPOSED_HISTORY
SPY,1996-12,1,2,normal,True,2,970,-947.163180155165,4,1921.8355445963198,1902.32636031033,0.9767925102557575,False,EXPOSED_HISTORY
SPY,1996-12,1,2,t,True,3,970,-913.5317946781586,5,1861.4500697138044,1837.0635893563172,0.9784396463925343,False,EXPOSED_HISTORY
SPY,1996-12,2,1,normal,True,4,970,-946.1318010277155,4,1919.7727863414207,1900.263602055431,0.9720085191143258,False,EXPOSED_HISTORY
SPY,1996-12,2,1,t,True,5,970,-912.9853615232627,5,1860.3572034040126,1835.9707230465253,0.975640863496502,False,EXPOSED_HISTORY
SPY,1997-01,1,1,normal,True,0,991,-981.075305091978,3,1982.8467537869458,1968.150610183956,0.978742975774279,False,EXPOSED_HISTORY
SPY,1997-01,1,1,t,True,1,991,-948.0071705698765,4,1923.609199277073,1904.014341139753,0.9808873260317641,True,EXPOSED_HISTORY
SPY,1997-01,1,2,normal,True,2,991,-981.0753050951894,4,1989.7454683276987,1970.1506101903788,0.9787436600779292,False,EXPOSED_HISTORY
SPY,1997-01,1,2,t,True,3,991,-948.0071705705508,5,1930.5079138127514,1906.0143411411016,0.9808868373366532,False,EXPOSED_HISTORY
SPY,1997-01,2,1,normal,True,4,991,-979.5329385184589,4,1986.6607351742377,1967.0658770369178,0.9728944899397572,False,EXPOSED_HISTORY
SPY,1997-01,2,1,t,True,5,991,-947.0951451697974,5,1928.6838630112447,1904.1902903395949,0.9772565473745134,False,EXPOSED_HISTORY
SPY,1997-02,1,1,normal,True,0,1013,-1009.4380059640436,3,2039.638026440833,2024.876011928087,0.9794102151161534,False,EXPOSED_HISTORY
SPY,1997-02,1,1,t,True,1,1013,-978.4670615207565,4,1984.6168090585077,1964.934123041513,0.9829828670323854,True,EXPOSED_HISTORY
SPY,1997-02,1,2,normal,True,2,1013,-1009.4380059642281,4,2046.5586979454508,2026.8760119284561,0.9794101626754956,False,EXPOSED_HISTORY
SPY,1997-02,1,2,t,True,3,1013,-978.4670615187797,5,1991.5374805588028,1966.9341230375594,0.9829829589478616,False,EXPOSED_HISTORY
SPY,1997-02,2,1,normal,True,4,1013,-1007.7905732150778,4,2043.2638324471502,2023.5811464301555,0.9736762171280975,False,EXPOSED_HISTORY
SPY,1997-02,2,1,t,True,5,1013,-977.386220013957,5,1989.3757975491574,1964.772440027914,0.9795944765278953,False,EXPOSED_HISTORY
SPY,1997-03,1,1,normal,True,0,1032,-1037.290931970121,3,2095.3996257783665,2080.581863940242,0.9819542405769875,False,EXPOSED_HISTORY
SPY,1997-03,1,1,t,True,1,1032,-1008.2688773241969,4,2044.2947704325597,2024.5377546483937,0.9865571159032592,True,EXPOSED_HISTORY
SPY,1997-03,1,2,normal,True,2,1032,-1037.2909319705495,4,2102.338879725265,2082.581863941099,0.981953852547909,False,EXPOSED_HISTORY
SPY,1997-03,1,2,t,True,3,1032,-1008.2688773258354,5,2051.2340243818785,2026.5377546516709,0.9865572396263409,False,EXPOSED_HISTORY
SPY,1997-03,2,1,normal,True,4,1032,-1035.531181888883,4,2098.8193795619322,2079.062363777766,0.9767307491269562,False,EXPOSED_HISTORY
SPY,1997-03,2,1,t,True,5,1032,-1007.0631756003586,5,2048.8226209309246,2024.1263512007172,0.9835545537684591,False,EXPOSED_HISTORY
SPY,1997-04,1,1,normal,True,0,1052,-1070.0681083400423,3,2161.0115618599775,2146.1362166800845,0.9863010341145724,False,EXPOSED_HISTORY
SPY,1997-04,1,1,t,True,1,1052,-1041.5789913945878,4,2110.991776362366,2091.1579827891755,0.9907453071811603,True,EXPOSED_HISTORY
SPY,1997-04,1,2,normal,True,2,1052,-1070.068108335765,4,2167.9700102447205,2148.13621667153,0.9863002738060277,False,EXPOSED_HISTORY
SPY,1997-04,1,2,t,True,3,1052,-1041.5789913937813,5,2117.950224754051,2093.1579827875626,0.9907451302933571,False,EXPOSED_HISTORY
SPY,1997-04,2,1,normal,True,4,1052,-1068.7961419874023,4,2165.426077547995,2145.5922839748046,0.9832830232102847,False,EXPOSED_HISTORY
SPY,1997-04,2,1,t,True,5,1052,-1040.6763424690043,5,2116.144926904497,2091.3526849380087,0.989015321581858,False,EXPOSED_HISTORY
SPY,1997-05,1,1,normal,True,0,1074,-1110.267610850053,3,2241.4726575253126,2226.535221700106,0.9898204704561127,False,EXPOSED_HISTORY
SPY,1997-05,1,1,t,True,1,1074,-1081.042880693151,4,2190.002342486577,2170.085761386302,0.993494732744575,True,EXPOSED_HISTORY
SPY,1997-05,1,2,normal,True,2,1074,-1110.26761085017,4,2248.4518028006155,2228.53522170034,0.9898205151934645,False,EXPOSED_HISTORY
SPY,1997-05,1,2,t,True,3,1074,-1081.0428806935922,5,2196.9814877625286,2172.0857613871844,0.9934947234305974,False,EXPOSED_HISTORY
SPY,1997-05,2,1,normal,True,4,1074,-1108.5382880383272,4,2244.99315717693,2225.0765760766544,0.9868519247468168,False,EXPOSED_HISTORY
SPY,1997-05,2,1,t,True,5,1074,-1079.9121813240956,5,2194.7200890235354,2169.8243626481913,0.9917848871885298,False,EXPOSED_HISTORY
SPY,1997-06,1,1,normal,True,0,1095,-1141.0675322762206,3,2303.130593479193,2288.1350645524412,0.9874321855827811,False,EXPOSED_HISTORY
SPY,1997-06,1,1,t,True,1,1095,-1111.8086493304165,4,2251.6113372298355,2231.617298660833,0.9914708329023686,True,EXPOSED_HISTORY
SPY,1997-06,1,2,normal,True,2,1095,-1141.0675322761158,4,2310.129103121234,2290.1350645522316,0.987432261810854,False,EXPOSED_HISTORY
SPY,1997-06,1,2,t,True,3,1095,-1111.8086493270803,5,2258.6098468654136,2233.6172986541605,0.9914707048720364,False,EXPOSED_HISTORY
SPY,1997-06,2,1,normal,True,4,1095,-1139.2640114109108,4,2306.522061390824,2286.5280228218217,0.9834275617766978,False,EXPOSED_HISTORY
