cash_mode,offset,cost_bps,period,rule,target,exposure_error,dynamic_mean,static_mean
PROXY,1,3,COVID,CORE_VOL,0.7523207754202303,4.330757974457811e-12,0.7523031536593902,0.7523031536550594
PROXY,1,3,2022,CORE_VOL,0.7831808321570861,5.4963811280117625e-12,0.7825461469848446,0.782546146990341
PROXY,1,3,2023_PLUS,CORE_VOL,0.9185062122196541,1.9551027463649007e-13,0.9186440983103814,0.9186440983105769
PROXY,1,3,2024_PLUS,CORE_VOL,0.91588026201498,1.3481438188023276e-12,0.915950573048854,0.9159505730502021
PROXY,1,3,EX_MAJOR_SHOCKS,CORE_VOL,0.9399286160405609,1.3420375921668892e-12,0.9400008619119318,0.9400008619105897
PROXY,2,0,ALL,VOL,0.8303944704894093,6.581846179187778e-12,0.8305784245177552,0.8305784245243371
PROXY,2,0,GFC,VOL,0.7084895302468794,6.736278201913137e-12,0.7087982018128336,0.7087982018195699
PROXY,2,0,2011,VOL,0.7945572389071458,6.3788974102862994e-12,0.7950394632932227,0.7950394632868438
PROXY,2,0,2015_2016,VOL,0.8994972463333397,1.004196725773454e-12,0.8996360108145655,0.8996360108135613
PROXY,2,0,2018Q4,VOL,0.6005400811482104,4.388378549435856e-12,0.5977008103254727,0.5977008103298611
PROXY,2,0,COVID,VOL,0.5026616478498909,3.034683615510403e-12,0.5038915276215051,0.5038915276245398
PROXY,2,0,2022,VOL,0.5589350740701775,2.283728761653947e-13,0.558335257216708,0.5583352572169363
PROXY,2,0,2023_PLUS,VOL,0.8324813225117396,1.0588196985850118e-12,0.8326415754133469,0.8326415754144058
PROXY,2,0,2024_PLUS,VOL,0.827412841921614,2.0523582833220644e-12,0.8275020995622747,0.8275020995602224
PROXY,2,0,EX_MAJOR_SHOCKS,VOL,0.8781294609289034,7.549516567451064e-13,0.8782847821984802,0.8782847821992351
PROXY,2,0,ALL,CORE_VOL,0.9152398378428188,6.106226635438361e-15,0.9153387905884012,0.9153387905884073
PROXY,2,0,GFC,CORE_VOL,0.8542607294439222,4.245714890771524e-12,0.8544356016019129,0.8544356015976672
PROXY,2,0,2011,CORE_VOL,0.8974037141379085,7.132516799401856e-12,0.8976718945276353,0.8976718945347678
PROXY,2,0,2015_2016,CORE_VOL,0.9498080231351196,6.48925357893404e-12,0.9498805381437538,0.9498805381372646
PROXY,2,0,2018Q4,CORE_VOL,0.8003329682032927,6.179390332761159e-12,0.7984117668429912,0.7984117668368118
PROXY,2,0,COVID,CORE_VOL,0.7520935106222169,1.1446399383885364e-12,0.7529699787771379,0.7529699787782825
