period,block,contrast,family,point,valid_fraction,ci_low,ci_high,sim_low,sim_high,candidate,reference,score,n,fractional_gain
2015_2016,21,FHS|HS|BRIER2,FHS_VALUE,0.0029904173041828764,1.0,-0.0023977371638606425,0.008216021484174945,-0.0033050168273174568,0.00928585143568321,FHS,HS,BRIER2,504,0.03389182557753948
2015_2016,21,FHS|HS|BRIER5,FHS_VALUE,-0.0005141972842903437,1.0,-0.0017699846761556617,0.00041159615355016246,-0.0018582853350452165,0.000829890766464529,FHS,HS,BRIER5,504,-0.06267504936818816
2015_2016,21,FHS|HS|DD_MSE,FHS_VALUE,2.7102199346864146e-05,1.0,-4.775124383933446e-06,5.612771170660661e-05,-9.848632842668203e-06,6.405303153639649e-05,FHS,HS,DD_MSE,504,0.12861204560291908
2018Q4,21,FHS|HS|PINBALL,FHS_VALUE,-0.00014557390003736289,0.983991995997999,-0.003884374287225619,0.002534347838815637,-0.004222575475051368,0.003931427674976643,FHS,HS,PINBALL,63,-0.03422495818453542
2018Q4,21,FHS|HS|FZ0,FHS_VALUE,-0.37307612875063084,0.983991995997999,-3.0045410018328105,1.062104298293241,-3.0852981161414217,2.33914585864016,FHS,HS,FZ0,63,
2018Q4,21,FHS|HS|BRIER2,FHS_VALUE,0.0019278740496143476,0.983991995997999,-0.05926560083255747,0.03498123386107838,-0.06052078979269832,0.06437653789192702,FHS,HS,BRIER2,63,0.005352069509139395
2018Q4,21,FHS|HS|BRIER5,FHS_VALUE,0.001986429810480303,0.983991995997999,-0.002732216254563495,0.00824443957939962,-0.005778685661586648,0.009751545282547253,FHS,HS,BRIER5,63,0.03252976918047685
2018Q4,21,FHS|HS|DD_MSE,FHS_VALUE,1.547173624264891e-05,0.983991995997999,-0.00019464421256125508,0.00017912574473178422,-0.00021421705194336527,0.0002451605244286631,FHS,HS,DD_MSE,63,0.027847457044888113
COVID,21,FHS|HS|PINBALL,FHS_VALUE,0.002970496338260426,0.9949974987493747,-0.0030632330291080275,0.014053504807037803,-0.007069115635638631,0.013010108312159483,FHS,HS,PINBALL,93,0.24772343625697074
COVID,21,FHS|HS|FZ0,FHS_VALUE,1.2026176024899087,0.9949974987493747,-1.5183470149380056,5.4822393123383515,-3.0934414485589974,5.498676653538815,FHS,HS,FZ0,93,
COVID,21,FHS|HS|BRIER2,FHS_VALUE,0.005561491163010471,0.9949974987493747,-0.04890590357138024,0.07916767925654891,-0.0663072995514818,0.07743028187750274,FHS,HS,BRIER2,93,0.026195686493987378
COVID,21,FHS|HS|BRIER5,FHS_VALUE,0.009990373214092178,0.9949974987493747,-0.02748781890086277,0.06983451977474439,-0.0448027103575779,0.06478345678576225,FHS,HS,BRIER5,93,0.06937191595680933
COVID,21,FHS|HS|DD_MSE,FHS_VALUE,0.00047888421911774517,0.9949974987493747,-0.0004047984031082797,0.0019952322561625547,-0.000909168019823959,0.0018669364580594493,FHS,HS,DD_MSE,93,0.20561786866319415
2022,21,FHS|HS|PINBALL,FHS_VALUE,-2.0843741865298193e-05,1.0,-0.000442266852559703,0.0005522752122386077,-0.0006319551044361932,0.0005902676207055967,FHS,HS,PINBALL,251,-0.005081673863785095
2022,21,FHS|HS|FZ0,FHS_VALUE,-0.020248366087569827,1.0,-0.22876473616916274,0.27489809893737865,-0.32617538852611605,0.28567865635097645,FHS,HS,FZ0,251,
2022,21,FHS|HS|BRIER2,FHS_VALUE,0.006256175253251632,1.0,-0.002554287655002542,0.015287366017578394,-0.004477547407835341,0.016989897914338605,FHS,HS,BRIER2,251,0.026175930163906302
2022,21,FHS|HS|BRIER5,FHS_VALUE,-0.0006239975465183612,1.0,-0.00227699724468604,0.001544440157523935,-0.002950675128749477,0.0017026800357127546,FHS,HS,BRIER5,251,-0.009600539859100119
2022,21,FHS|HS|DD_MSE,FHS_VALUE,3.982456630502157e-05,1.0,-1.593184585873892e-05,0.00010154552110103116,-2.8396018149842825e-05,0.00010804515075988597,FHS,HS,DD_MSE,251,0.07976428581522889
2023_PLUS,21,FHS|HS|PINBALL,FHS_VALUE,0.00015777455800313625,1.0,-6.496294327415225e-06,0.00032029124101209207,-4.862847460623354e-05,0.00036417759061250604,FHS,HS,PINBALL,911,0.065356997723506
2023_PLUS,21,FHS|HS|FZ0,FHS_VALUE,0.1490195855918329,1.0,0.0513757581060728,0.24575824677421124,0.024778489759406358,0.2732606814242594,FHS,HS,FZ0,911,
2023_PLUS,21,FHS|HS|BRIER2,FHS_VALUE,0.002153870943598102,1.0,-0.0014404765262197527,0.005452011276653028,-0.00209052091131055,0.006398262798506754,FHS,HS,BRIER2,911,0.025592288761990562
2023_PLUS,21,FHS|HS|BRIER5,FHS_VALUE,-0.00010059991452374885,1.0,-0.0008360087381981061,0.00035835960782264344,-0.0008889509456369502,0.0006877511165894524,FHS,HS,BRIER5,911,-0.01271178915886286
2023_PLUS,21,FHS|HS|DD_MSE,FHS_VALUE,1.8579125721721678e-05,1.0,-3.44195569661589e-06,3.9419517569755605e-05,-8.672238072057332e-06,4.5830489515500685e-05,FHS,HS,DD_MSE,911,0.09768603969218835
2024_PLUS,21,FHS|HS|PINBALL,FHS_VALUE,0.00015494880752233028,1.0,-3.5718244034217875e-05,0.0003422858665504656,-8.307669793852502e-05,0.0003929743129831856,FHS,HS,PINBALL,661,0.06198437516917835
2024_PLUS,21,FHS|HS|FZ0,FHS_VALUE,0.14769141152165682,1.0,0.03458165000258166,0.259028247116732,0.0037041502730924825,0.2916786727702212,FHS,HS,FZ0,661,
2024_PLUS,21,FHS|HS|BRIER2,FHS_VALUE,0.002567136636463342,1.0,-0.0013626035117141428,0.006202891051870983,-0.0021764419935392195,0.007310715266465904,FHS,HS,BRIER2,661,0.031658961499139486
2024_PLUS,21,FHS|HS|BRIER5,FHS_VALUE,-0.0002438967829353433,1.0,-0.0012552533153875618,0.0003798569824607917,-0.0013059180504153187,0.0008181244845446322,FHS,HS,BRIER5,661,-0.026430820664125308
2024_PLUS,21,FHS|HS|DD_MSE,FHS_VALUE,1.8095496257495352e-05,1.0,-1.1298774677056918e-05,4.462534132830165e-05,-1.6242274924311247e-05,5.243326743930195e-05,FHS,HS,DD_MSE,661,0.08335506841785781
