period,block,contrast,family,point,valid_fraction,ci_low,ci_high,sim_low,sim_high,candidate,reference,score,n,fractional_gain
2018Q4,42,FHS|HS|PINBALL,FHS_VALUE,0.00042477483171562454,0.9214607303651826,,,,,FHS,HS,PINBALL,63,0.08665500009851833
2018Q4,42,FHS|HS|FZ0,FHS_VALUE,-0.0883560566556721,0.9214607303651826,,,,,FHS,HS,FZ0,63,
2018Q4,42,FHS|HS|BRIER2,FHS_VALUE,0.014961132373082987,0.9214607303651826,,,,,FHS,HS,BRIER2,63,0.04249790894235338
2018Q4,42,FHS|HS|BRIER5,FHS_VALUE,0.002581280634937229,0.9214607303651826,,,,,FHS,HS,BRIER5,63,0.021691457225936718
2018Q4,42,FHS|HS|DD_MSE,FHS_VALUE,0.0001502806732686723,0.9214607303651826,,,,,FHS,HS,DD_MSE,63,0.1626052633338819
COVID,42,FHS|HS|PINBALL,FHS_VALUE,0.001933111867745237,0.9609804902451226,-0.0027145590329321354,0.011003836468176723,-0.006613352668849698,0.010479576404340172,FHS,HS,PINBALL,93,0.20258420537074992
COVID,42,FHS|HS|FZ0,FHS_VALUE,0.5910114374481669,0.9609804902451226,-0.8984030618142922,3.0837644805372393,-2.3492821264439345,3.5313050013402685,FHS,HS,FZ0,93,
COVID,42,FHS|HS|BRIER2,FHS_VALUE,-0.006139059996596565,0.9609804902451226,-0.03751679524374183,0.057190340624312254,-0.05753155721005641,0.04525343721686328,FHS,HS,BRIER2,93,-0.03747277353392467
COVID,42,FHS|HS|BRIER5,FHS_VALUE,0.001766670680051751,0.9609804902451226,-0.02506994857329334,0.05026316347559643,-0.04139427614717868,0.04492761750728218,FHS,HS,BRIER5,93,0.015910723926012556
COVID,42,FHS|HS|DD_MSE,FHS_VALUE,0.0002966606975648566,0.9609804902451226,-0.00037047419455082253,0.0017337439579646812,-0.00096644992163269,0.0015597713167624031,FHS,HS,DD_MSE,93,0.16301112242167864
2022,42,FHS|HS|PINBALL,FHS_VALUE,0.0006903091177150456,0.9994997498749375,-0.00021357373799214162,0.0018893295460144569,-0.0006100356372583973,0.0019906538726884885,FHS,HS,PINBALL,251,0.1276504855799056
2022,42,FHS|HS|FZ0,FHS_VALUE,0.2361075248129174,0.9994997498749375,-0.09155437810755772,0.6821193685030528,-0.24318873638894434,0.7154037860147792,FHS,HS,FZ0,251,
2022,42,FHS|HS|BRIER2,FHS_VALUE,0.01805836167551268,0.9994997498749375,0.006442073302519571,0.03030338075514315,0.0038751706798698018,0.032241552671155554,FHS,HS,BRIER2,251,0.0630242995619564
2022,42,FHS|HS|BRIER5,FHS_VALUE,0.0032737247032562093,0.9994997498749375,-0.0018819400490763282,0.00988277875295026,-0.003831488760189935,0.010378938166702354,FHS,HS,BRIER5,251,0.027478258333632415
2022,42,FHS|HS|DD_MSE,FHS_VALUE,0.00018670925751169764,0.9994997498749375,7.565510759886507e-05,0.0003203744411341683,3.487886930119533e-05,0.00033853964572219995,FHS,HS,DD_MSE,251,0.2145696633468666
