period,model,bucket_type,bucket,n,var_hit,ES_moment,actual_p2,pred_p2,actual_p5,pred_p5,actual_D,pred_D,actual_probability,predicted_probability
2023_PLUS,HS,p2,0.05_0.1,0,,,,,,,,,,
2023_PLUS,HS,p2,0.1_0.2,911,,,,,,,,,0.1525795828759605,0.17873342148698995
2023_PLUS,HS,p2,0.2_1.000001,0,,,,,,,,,,
2023_PLUS,HS,p5,0_0.01,0,,,,,,,,,,
2023_PLUS,HS,p5,0.01_0.05,911,,,,,,,,,0.01756311745334797,0.039057114813953464
2023_PLUS,HS,p5,0.05_0.1,0,,,,,,,,,,
2023_PLUS,HS,p5,0.1_0.2,0,,,,,,,,,,
2023_PLUS,HS,p5,0.2_1.000001,0,,,,,,,,,,
2023_PLUS,FHS,RISK,LOW,268,0.055970149253731345,-0.015427268619746297,0.11567164179104478,0.11905753518902387,0.011194029850746268,0.00951452891273691,0.013760514632611133,0.01407476791320958,,
2023_PLUS,FHS,RISK,MID,578,0.03460207612456748,0.1269601515372263,0.17474048442906576,0.18647690661377994,0.020761245674740483,0.03764183196285414,0.019110923261022154,0.02020654180701545,,
2023_PLUS,FHS,RISK,HIGH,65,0.0,0.28353203674332367,0.1076923076923077,0.27082348086486346,0.015384615384615385,0.11736291164598404,0.020999977101669655,0.03452071019351496,,
2023_PLUS,FHS,p2,0_0.01,0,,,,,,,,,,
2023_PLUS,FHS,p2,0.01_0.05,0,,,,,,,,,,
2023_PLUS,FHS,p2,0.05_0.1,46,,,,,,,,,0.13043478260869565,0.08705174088830292
2023_PLUS,FHS,p2,0.1_0.2,618,,,,,,,,,0.14724919093851133,0.1546273544699955
2023_PLUS,FHS,p2,0.2_1.000001,247,,,,,,,,,0.1700404858299595,0.23372677152356344
2023_PLUS,FHS,p5,0_0.01,153,,,,,,,,,0.006535947712418301,0.006890155151884611
2023_PLUS,FHS,p5,0.01_0.05,567,,,,,,,,,0.014109347442680775,0.026618947002558846
2023_PLUS,FHS,p5,0.05_0.1,154,,,,,,,,,0.03896103896103896,0.06898583017199361
2023_PLUS,FHS,p5,0.1_0.2,33,,,,,,,,,0.030303030303030304,0.1304389849814025
2023_PLUS,FHS,p5,0.2_1.000001,4,,,,,,,,,0.0,0.21500521014241056
2024_PLUS,HS,RISK,LOW,205,0.01951219512195122,0.2613716380316328,0.11219512195121951,0.17820258064897324,0.014634146341463415,0.038832804830732065,0.01380266182589708,0.02020098642317824,,
2024_PLUS,HS,RISK,MID,396,0.045454545454545456,0.0862461703345734,0.1994949494949495,0.17798221962626978,0.030303030303030304,0.038492146871261713,0.02033122323324292,0.020159532981426084,,
2024_PLUS,HS,RISK,HIGH,60,0.016666666666666666,0.2877950575416693,0.11666666666666667,0.1784956043088001,0.016666666666666666,0.03835446787662011,0.02092819446254758,0.02015821264016089,,
2024_PLUS,HS,p2,0_0.01,0,,,,,,,,,,
2024_PLUS,HS,p2,0.01_0.05,0,,,,,,,,,,
2024_PLUS,HS,p2,0.05_0.1,0,,,,,,,,,,
2024_PLUS,HS,p2,0.1_0.2,661,,,,,,,,,0.1649016641452345,0.1780971622746904
2024_PLUS,HS,p2,0.2_1.000001,0,,,,,,,,,,
2024_PLUS,HS,p5,0_0.01,0,,,,,,,,,,
2024_PLUS,HS,p5,0.01_0.05,661,,,,,,,,,0.024205748865355523,0.038585299884897
2024_PLUS,HS,p5,0.05_0.1,0,,,,,,,,,,
2024_PLUS,HS,p5,0.1_0.2,0,,,,,,,,,,
2024_PLUS,HS,p5,0.2_1.000001,0,,,,,,,,,,
2024_PLUS,FHS,RISK,LOW,205,0.03902439024390244,0.0076049794505133874,0.11219512195121951,0.11705398586789444,0.014634146341463415,0.009100984355144446,0.01380266182589708,0.013917816326212548,,
2024_PLUS,FHS,RISK,MID,396,0.047979797979797977,0.05384463427349006,0.1994949494949495,0.1874532550926888,0.030303030303030304,0.038030874025645665,0.02033122323324292,0.0203021457770074,,
2024_PLUS,FHS,RISK,HIGH,60,0.0,0.28334084800490056,0.11666666666666667,0.2719991635781208,0.016666666666666666,0.11933432432349818,0.02092819446254758,0.034911807280586064,,
2024_PLUS,FHS,p2,0_0.01,0,,,,,,,,,,
2024_PLUS,FHS,p2,0.01_0.05,0,,,,,,,,,,
2024_PLUS,FHS,p2,0.05_0.1,39,,,,,,,,,0.10256410256410256,0.08654362270192915
2024_PLUS,FHS,p2,0.1_0.2,434,,,,,,,,,0.15898617511520738,0.15379630709516603
2024_PLUS,FHS,p2,0.2_1.000001,188,,,,,,,,,0.19148936170212766,0.23630163494485668
2024_PLUS,FHS,p5,0_0.01,129,,,,,,,,,0.007751937984496124,0.006888139275944819
2024_PLUS,FHS,p5,0.01_0.05,384,,,,,,,,,0.020833333333333332,0.027071874081336513
2024_PLUS,FHS,p5,0.05_0.1,112,,,,,,,,,0.05357142857142857,0.06912318396342122
2024_PLUS,FHS,p5,0.1_0.2,32,,,,,,,,,0.03125,0.13125000962710198
2024_PLUS,FHS,p5,0.2_1.000001,4,,,,,,,,,0.0,0.21500521014241056
