cash_mode,offset,cost_bps,period,rule,target,exposure_error,dynamic_mean,static_mean
PROXY,2,1,2022,VOL,0.6368068137890077,1.784017378270164e-12,0.6359991996453975,0.6359991996436135
PROXY,2,1,2023_PLUS,VOL,0.9013864571825252,2.802202914153895e-13,0.9015390228245522,0.901539022824272
PROXY,2,1,2024_PLUS,VOL,0.8979229426840902,4.652944696204031e-12,0.8980522645667116,0.8980522645620587
PROXY,2,1,EX_MAJOR_SHOCKS,VOL,0.8899710496261832,4.2691405965911144e-12,0.8900642159752329,0.890064215979502
PROXY,2,1,ALL,CORE_VOL,0.9232884722659946,4.894418204060003e-12,0.9233195548267982,0.9233195548219038
PROXY,2,1,DOTCOM,CORE_VOL,0.8115782147724531,8.029132914089132e-13,0.8114069296621703,0.8114069296613674
PROXY,2,1,GFC,CORE_VOL,0.8351722478182637,3.779199175824033e-13,0.8349247139978537,0.8349247139974758
PROXY,2,1,2011,CORE_VOL,0.8710407269754796,3.397504499957904e-12,0.8708894819821179,0.8708894819855154
PROXY,2,1,2015_2016,CORE_VOL,0.9552006255762535,5.224598531583524e-12,0.9552412190857427,0.9552412190909673
PROXY,2,1,2018Q4,CORE_VOL,0.8574473811531789,3.986810881428937e-13,0.8573067371913987,0.857306737191
PROXY,2,1,COVID,CORE_VOL,0.7133824412667309,6.387335105273451e-12,0.7137889635288374,0.7137889635352247
PROXY,2,1,2022,CORE_VOL,0.8185106226374046,1.82620585320592e-12,0.817978603845931,0.8179786038441048
PROXY,2,1,2023_PLUS,CORE_VOL,0.9506978010977036,4.077072013330962e-12,0.9507778961240214,0.9507778961280985
PROXY,2,1,2024_PLUS,CORE_VOL,0.9489609968222794,5.362377208939506e-14,0.9490289336574788,0.9490289336575324
PROXY,2,1,EX_MAJOR_SHOCKS,CORE_VOL,0.9449911889169016,4.880873483159576e-12,0.9450401887748111,0.945040188779692
PROXY,2,3,ALL,VOL,0.8466030653144117,5.1697535141670414e-12,0.8466623286629389,0.8466623286577691
PROXY,2,3,DOTCOM,VOL,0.6230530300890678,7.380762667708041e-13,0.622810324036442,0.6228103240357039
PROXY,2,3,GFC,VOL,0.6706098827489768,1.003530591958679e-12,0.6702300279687011,0.6702300279676976
PROXY,2,3,2011,VOL,0.7421455071380478,1.972200180944128e-12,0.7418979671263709,0.7418979671283431
PROXY,2,3,2015_2016,VOL,0.9103852514890605,2.226219208978364e-12,0.9104630913837947,0.9104630913860209
PROXY,2,3,2018Q4,VOL,0.7147620860705501,6.2271299228200405e-12,0.7145351886765501,0.7145351886827772
PROXY,2,3,COVID,VOL,0.42626263786951313,7.928657730360555e-13,0.4268370294866245,0.42683702948741736
PROXY,2,3,2022,VOL,0.6368068137890077,1.784017378270164e-12,0.6359991996453975,0.6359991996436135
PROXY,2,3,2023_PLUS,VOL,0.9013864571825252,2.802202914153895e-13,0.9015390228245522,0.901539022824272
PROXY,2,3,2024_PLUS,VOL,0.8979229426840902,4.652944696204031e-12,0.8980522645667116,0.8980522645620587
PROXY,2,3,EX_MAJOR_SHOCKS,VOL,0.8899710496261832,4.2691405965911144e-12,0.8900642159752329,0.890064215979502
